slot	file	verdict
VERIFY_88	P500_VERIFY_88.md	FAIL_CLAIM3_DISPROVEN_CLAIM1_4_UNSCOPED_2_PASS_5_PAPER_ONLY_LIVE_NONE_DEMO_WIRED
VERIFY_93	P500_VERIFY_93.md	FAIL_CLAIM3_DISPROVEN_CLAIM1_4_UNSCOPED_2_PASS_5_PAPER_ONLY_ADMIT_CLASS_LIVE_NONE_DEMO_RESIDUAL
VERIFY_83	P500_VERIFY_83.md	FAIL_CLAIM3_DISPROVEN_CLAIM1_4_UNPROVEN_2_PASS_5_PAPER_ONLY_LIVE_NONE_DEMO_RESIDUAL
VERIFY_81	P500_VERIFY_81.md	FAIL_CLAIM3_DISPROVEN_CLAIM1_4_UNSCOPED_2_PASS_5_PAPER_ONLY_LIVE_NONE_DEMO_RESIDUAL
VERIFY_67	P500_VERIFY_67.md	FAIL_CLAIM3_DISPROVEN_CLAIM1_4_UNPROVEN_2_5_PASS_LIVE_NONE_DEMO_RESIDUAL
VERIFY_60	P500_VERIFY_60.md	FAIL_NO_35D_UNSCOPED_REALCOPY_NOT_PINNED_DEMO_HOPPER_IS_DEST_PNL_SHADOW_IS_ADMIT
VERIFY_42	P500_VERIFY_42.md	FAIL_CLAIM3_DISPROVEN_CLAIM1_4_UNPROVEN_2_PASS_5_PAPER_ONLY_LIVE_NONE_DEMO_RESIDUAL
VERIFY_52	P500_VERIFY_52.md	FAIL_CLAIM3_DISPROVEN_CLAIM1_4_UNPROVEN_2_5_PASS_LIVE_NONE_DEMO_RESIDUAL
VERIFY_29	P500_VERIFY_29.md	FAIL_REALCOPY_NOT_PINNED_DEMO_HOPPER_IS_DEST_PNL_SHADOW_CAN_SEND
VERIFY_23	P500_VERIFY_23.md	FAIL_CLAIM3_DISPROVEN_CLAIM1_4_UNPROVEN_2_5_PASS_LIVE_NONE_DEMO_RESIDUAL
BOOK_190	P500_BOOK_190.md	CONFIRMED_SHADOW_100PCT_DEMO_NO_REAL_STARWAVE_OR_CONTEST_DEST_FILL_305750_DEMO_COPY_ALL_8463_NEGEV
BOOK_191	P500_BOOK_191.md	NEVER_COPY_RISK_BLOCKED_-241k
BOOK_178	P500_BOOK_178.md	DEST_ONLY_FLATTEN_LAW_NEVER_FLATTEN_MT5_COPY_ALL_8463_COPIES_RISK_BLOCKED
BOOK_182	P500_BOOK_182.md	PASS_35A_ONLY_COPY_ALL_8463_NEGATIVE_EV_DEMO_HOPPER_WIRED
BOOK_167	P500_BOOK_167.md	SCALPS_DIE_AFTER_COSTS_DEMO_SEND_BYPASSES_15S
BOOK_180	P500_BOOK_180.md	CONFIRMED_SPLIT_NOT_EDGE_95.50_VS_NEG_NET_COPY_ALL_8463_NEGEV
BOOK_171	P500_BOOK_171.md	NEVER_COPY_RISK_BLOCKED_-241k
BOOK_163	P500_BOOK_163.md	GRID_NOT_FLAGGED_303274_AUTO_ADMIT_MAXAUTOLOTS_PASSES
BOOK_170	P500_BOOK_170.md	CONFIRMED_SHADOW_100PCT_DEMO_HEAD_ADMITS_DEMO_CONTEST_COPY_ALL_8463_NEGEV
