id|N|mart|esc|avg|net|pf|lotCv|lossCv|sl|dd|gp|risk|beh|qual|q70|state|elig
MILD_1.26_SL|3|1|0|0|200|5|0.1128|0|1|50|250|35|70|85.25|Q>=70|SHADOW|1
MILD_1.30_SL_B12|3|1|0|0|300|4|0.1179|0|1|100|400|35|70|85.25|Q>=70|SHADOW|1
MILD_1.50_EXACT|3|1|0|0|200|5|0.202|0|1|50|250|35|70|85.25|Q>=70|SHADOW|1
BOUND_1.25_EXACT_NOT_MART|3|0|0|0|200|5|0.1088|0|1|50|250|0|100|100|Q>=70|SHADOW|1
JUST_OVER_1.25|3|1|0|0|200|5|0.1088|0|1|50|250|35|70|85.25|Q>=70|SHADOW|1
PF_1.05_MILD|3|1|0|0|5|1.05|0.1286|0|1|100|105|35|70|70.25|Q>=70|SHADOW|1
PF_1.19_MILD|3|1|0|0|19|1.19|0.1286|0|1|100|119|35|70|70.25|Q>=70|SHADOW|1
PF_1.20_MILD|3|1|0|0|20|1.2|0.1286|0|1|100|120|35|70|80.25|Q>=70|SHADOW|1
PF_1.79_MILD|3|1|0|0|79|1.79|0.1286|0|1|100|179|35|70|80.25|Q>=70|SHADOW|1
PF_1.80_MILD|3|1|0|0|80|1.8|0.1286|0|1|100|180|35|70|85.25|Q>=70|SHADOW|1
NET_ZERO_MILD|3|1|0|0|0|1|0.1286|0|1|100|100|35|70|55.25|Q<70|WATCH|1
NET_NEG1_MILD|3|1|0|0|-1|0.99|0.1286|0|1|100|99|45|70|52.75|Q<70|RISK_BLOCKED|1
CASEB_SL|3|1|1|0|650|5.3333|0.5345|0.3333|1|150|800|60|60|77|Q>=70|WATCH|1
CASEB_NOSL|3|1|1|0|650|5.3333|0.5345|0.3333|0|150|800|70|50|72.5|Q>=70|WATCH|1
FX03_LOSING|3|1|1|0|-700|0|0.5345|0.5345|1|700|0|60|60|47|Q<70|RISK_BLOCKED|1
UNIT_3WIN|3|0|0|0|240|99|0|0|1|0|240|0|100|100|Q>=70|SHADOW|1
MILD_NOSL|3|1|0|0|200|5|0.1286|0|0|50|250|45|60|80.75|Q>=70|WATCH|1
MILD_SL_1of3|3|1|0|0|200|5|0.1286|0|0.3333|50|250|35|60|83.25|Q>=70|SHADOW|1
MILD_SL_0|3|1|0|0|200|5|0.1286|0|0|50|250|45|60|80.75|Q>=70|WATCH|1
MILD_AVG|3|1|0|1|200|5|0.1286|0|1|50|250|55|55|77.25|Q>=70|WATCH|1
MILD_ESC_1.51|3|1|1|0|200|5|0.2055|0|1|50|250|50|70|81.5|Q>=70|WATCH|1
MILD_DD_GT_GP|3|1|0|0|10|1.05|0.1286|0|1|200|210|35|70|70.25|Q>=70|SHADOW|1
MILD_DD_GT_GP_TRUE|3|1|0|0|10|1.0333|0.1286|0|1|300|310|35|70|70.25|Q>=70|SHADOW|1
DD_GT_GP_UNPROFITABLE|3|1|0|0|-30|0.4|0.1286|0|1|50|20|45|70|52.75|Q<70|RISK_BLOCKED|1
HIGH_LOSS_CV|3|1|0|0|190|1.9048|0.1179|0.9048|1|210|400|35|60|83.25|Q>=70|SHADOW|1
HIGH_LOT_CV|3|1|1|0|200|5|1.2214|0|1|50|250|60|60|77|Q>=70|WATCH|1
SPACER_BE|3|0|1|0|150|4|0.3536|0|1|50|200|15|100|96.25|Q>=70|SHADOW|1
SPACER_TINY_WIN|3|0|1|0|150.01|4.0002|0.3536|0|1|50|200.01|15|100|96.25|Q>=70|SHADOW|1
GEO_1.24x3|3|0|0|0|100|2|0.1746|0|1|100|200|0|100|100|Q>=70|SHADOW|1
GEO_1.24x4|4|0|0|0|80|1.6667|0.2385|0|1|120|200|0|100|95|Q>=70|SHADOW|1
SIZEUP_AFTER_WIN|3|0|1|0|150|99|0.5345|0|1|0|150|25|90|91.75|Q>=70|SHADOW|1
EURUSD_SPACER|3|1|1|0|200|5|0.3536|0|1|50|250|50|70|81.5|Q>=70|WATCH|1
INCOMPLETE_SPACER|3|1|1|0|200|5|0.3536|0|1|50|250|50|70|81.5|Q>=70|WATCH|1
N2_MILD_WIN|2|1|0|0|150|4|0.1304|0|1|50|200|35|70|40|Q<70|INSUFFICIENT_DATA|0
N2_MILD_LOSE|2|1|0|0|-130|0|0.1304|0.2308|1|130|0|35|70|40|Q<70|RISK_BLOCKED|0
N4_EXPAND_MILD|4|1|0|0|250|6|0.1208|0|1|50|300|35|70|85.25|Q>=70|SHADOW|1
MAXVOL_NOT_INITIAL|3|1|0|0|200|5|0.1286|0|1|50|250|35|70|85.25|Q>=70|SHADOW|1
STACK_ALL_FLAGS_WIN|3|1|1|1|270|3.0769|1|0.2308|0|130|400|90|35|64.5|Q<70|RISK_BLOCKED|1
STACK_ALL_STILL_Q70?|3|1|1|1|110|6.5|0.2357|0|0|20|130|80|45|69|Q<70|RISK_BLOCKED|1
A22_CASE_A|3|0|0|0|100|3.5|0|0|1|40|140|0|100|100|Q>=70|SHADOW|1
N10_SL3_MILD|10|1|0|0|310|7.2|0.0874|0|0.3|50|360|35|60|83.25|Q>=70|SHADOW|1
N10_SL2_MILD|10|1|0|0|310|7.2|0.0874|0|0.2|50|360|45|60|80.75|Q>=70|WATCH|1
SAME_CLOSE_LOSS_THEN_BIG|3|1|1|0|200|5|0.3536|0|1|50|250|50|70|81.5|Q>=70|WATCH|1
SAME_CLOSE_BIG_THEN_LOSS|3|0|0|0|200|5|0.3536|0|1|50|250|0|100|100|Q>=70|SHADOW|1
